"gene","logFC","logCPM","PValue","FDR","topDE"
"CDC45",1.15589664898207,5.28431557248045,5.44271590881697e-08,8.23465908516793e-06,"Up"
"AL512652.2",-0.952079599646433,5.02178305346244,5.68029103460735e-08,8.52748187412449e-06,"NA"
"CYP2F1",-0.992946488535596,4.91650395760372,5.76302710841917e-08,8.58513715243429e-06,"NA"
"VSTM2L",-0.839787920029371,5.28628059036561,5.87521903236486e-08,8.68545738784564e-06,"NA"
"AC010200.1",0.996120441842952,5.51953360166607,6.15829745718458e-08,9.03496882998762e-06,"NA"
"AC005224.3",1.13409637229497,5.33161882855631,6.2938546724093e-08,9.15418494069996e-06,"Up"
"TTK",0.96605548943415,5.61440478982577,6.33409471266031e-08,9.15418494069996e-06,"NA"
"AL157402.2",1.14925379546457,5.27946966480095,6.54415689804166e-08,9.34472672600825e-06,"Up"
"NKX6-2",-1.00310088485603,4.90846456439316,6.56244363697781e-08,9.34472672600825e-06,"Down"
"BTF3L4P2",0.958372804311507,5.62681793681918,6.68922922612998e-08,9.45573818928709e-06,"NA"
"LINC02456",0.96040303557334,5.61355523985812,6.85949668374242e-08,9.56416362409175e-06,"NA"
"AC129492.4",-3.51060474068387,4.30873457014898,6.86470486289762e-08,9.56416362409175e-06,"Down"
"AC012150.2",1.04522667304162,5.44251287346545,7.02991338542035e-08,9.71456147926243e-06,"Up"
"ARL4AP5",1.07972007778389,5.40968221912272,7.07297928625427e-08,9.71456147926243e-06,"Up"
"AC087641.1",-0.786979673604033,5.41895198630917,7.24313419483354e-08,9.87820681810889e-06,"NA"
"GJB2",0.76310130272336,6.05963400482798,7.39389447586843e-08,1.00132979314453e-05,"NA"
"AC093249.6",-0.778107988548412,5.43807679690214,7.72875292566438e-08,1.03940992471123e-05,"NA"
"WFIKKN1",-0.832892861947635,5.27071026381341,8.63405424649324e-08,1.1531523761213e-05,"NA"
"RPL21P28",1.25279855368168,5.14077080373115,9.08529536873052e-08,1.20510842541668e-05,"Up"
"RBM43P1",1.13092270227338,5.27270840106735,9.44433817380302e-08,1.24421124540047e-05,"Up"
"AC090229.1",1.05047334847124,5.43451817182489,9.88657989068169e-08,1.27546987559159e-05,"Up"
"AC011498.6",-0.933443669443749,5.03006753428954,9.90394601269439e-08,1.27546987559159e-05,"NA"
"DEPDC1B",1.06351515356061,5.41973552684796,9.94973015219608e-08,1.27546987559159e-05,"Up"
"AC022973.1",1.05154727390768,5.41871480298775,9.94973015219608e-08,1.27546987559159e-05,"Up"
"RPL32P1",1.08475417517418,5.37177822889128,1.00109171274358e-07,1.27546987559159e-05,"Up"
"RNF208",-1.01125950151292,4.8536988985225,1.07654239146251e-07,1.36263529104987e-05,"Down"
"BUB1",0.863637249315149,5.75474417865702,1.08429620015005e-07,1.36353767611077e-05,"NA"
"RAC3",-0.878751264359359,5.15278579403934,1.10973813414252e-07,1.38652830360027e-05,"NA"
"CRTAM",0.940990051671918,5.59096281718807,1.13311606570943e-07,1.39178271598736e-05,"NA"
"TRIM50",-0.884410114578029,5.11057231210957,1.13355411868265e-07,1.39178271598736e-05,"NA"
"CYP2F2P",-0.927068403732898,5.03274884009456,1.13550381661677e-07,1.39178271598736e-05,"NA"
"RSC1A1",0.774821448559553,5.97602615394937,1.19948092776429e-07,1.4609526822065e-05,"NA"
"HIST1H2AM",0.920463009906663,5.628688460212,1.21964020857943e-07,1.47622201745933e-05,"NA"
"CEP55",0.891147395533562,5.70266053631999,1.2591711647633e-07,1.51460302961528e-05,"NA"
"CD44-AS1",0.908909372187124,5.65206282900711,1.33794839082974e-07,1.59942645288943e-05,"NA"
"GJC2",-0.748198689731873,5.49401966747793,1.43093353739707e-07,1.70008950216146e-05,"NA"
"ZACN",-0.747336310295673,5.48527500314462,1.46969416322489e-07,1.73549372957398e-05,"NA"
"GPR141",0.953702993846598,5.55739780522211,1.51292172380304e-07,1.77489690844735e-05,"NA"
"B3GALNT1P1",1.02669064111432,5.41152866503172,1.52335744147883e-07,1.77489690844735e-05,"Up"
"AC093157.2",1.1755188588383,5.20524882364967,1.53592551339409e-07,1.77489690844735e-05,"Up"
"ZNF415P1",0.927987614659096,5.62285450466027,1.5397226098273e-07,1.77489690844735e-05,"NA"
"AC005329.1",-0.849114315684828,5.20068101218822,1.54902139849355e-07,1.77505020137432e-05,"NA"
