"logFC","logCPM","PValue","FDR","topDE"
-0.919182740967389,5.11190703987789,2.80672153544944e-11,4.98669442711136e-09,"NA"
1.08593038274651,5.42048897765699,2.86918403525875e-11,5.02255382327658e-09,"Up"
0.670792980498307,6.34654012708554,2.87877452434008e-11,5.02255382327658e-09,"NA"
0.835257751351787,5.88189418405833,2.923689255188e-11,5.05537197464025e-09,"NA"
1.10305317593124,5.38762877854447,2.98974619316662e-11,5.1238429006075e-09,"Up"
-0.756604084906385,5.53905371778534,3.26864463230857e-11,5.55268174993752e-09,"NA"
1.0798743681325,5.4082910979093,3.48206702661496e-11,5.85432708665047e-09,"Up"
1.02278368423489,5.49158169199108,3.50667118688142e-11,5.85432708665047e-09,"Up"
1.07035068077958,5.42708356727364,4.01730701906549e-11,6.61230606669499e-09,"Up"
0.973455312937003,5.57609018193515,4.02942698046352e-11,6.61230606669499e-09,"NA"
0.967253070769884,5.59341183437263,4.06312311234485e-11,6.61230606669499e-09,"NA"
-0.875141354824729,5.20159871563822,4.2170467595191e-11,6.78171051860073e-09,"NA"
0.796792450312186,5.96797255569007,4.23725587499065e-11,6.78171051860073e-09,"NA"
-1.03120863387497,4.84888327542888,4.30994602777602e-11,6.84150940769758e-09,"Down"
1.01145672230008,5.48682669836201,4.94216710910098e-11,7.7813014825081e-09,"Up"
-0.761221166919033,5.493081242166,6.27042789429847e-11,9.7929924678213e-09,"NA"
1.03693521155831,5.44152451536085,6.50582795883532e-11,1.00793491400644e-08,"Up"
0.968927000912605,5.57587043212689,7.49255499371613e-11,1.15159380958973e-08,"NA"
1.02915594560051,5.43946834567027,7.73747804746291e-11,1.1795560255289e-08,"Up"
-1.02830328514256,4.84799424200459,7.80752626918485e-11,1.1795560255289e-08,"Down"
1.12982393219152,5.28338000037885,7.85720991909676e-11,1.1795560255289e-08,"Up"
0.726085321847374,6.12968724689195,8.18902958683741e-11,1.21891472445352e-08,"NA"
1.0113061508627,5.47949092732255,8.24526638972484e-11,1.21891472445352e-08,"Up"
-0.794558981116058,5.39397187501341,8.3647965921558e-11,1.22126439506441e-08,"NA"
1.04169592150776,5.43690247696345,8.43691342499698e-11,1.22126439506441e-08,"Up"
0.877194205642087,5.73098088720439,8.45034746145982e-11,1.22126439506441e-08,"NA"
0.969349145449376,5.54618240476396,9.11901423341432e-11,1.30813947884668e-08,"NA"
0.816165760260865,5.87478201759235,9.49939607957806e-11,1.35268606233168e-08,"NA"
-0.701865726621582,5.66828373205754,1.14750949284175e-10,1.62209261593966e-08,"NA"
1.14839402582986,5.22809770226483,1.24428923201875e-10,1.74615255559965e-08,"Up"
